source_macro,target_macro,raw_edges_broad,raw_edges_specialized,ipw_edges_broad,ipw_edges_specialized,rate_broad,rate_specialized,row_share_broad,row_share_specialized,row_share_difference,standardized_share_broad,standardized_share_specialized,standardized_share_difference,pooled_standardized_share,plot_edge,source_domain,citing_domain
10,18,1590,2697,4170.938257932663,4770.557555317879,0.0478325067672805,0.0523737351906752,0.0075507695031116,0.0076752502827985,0.0001244807796868,0.0001650480769096,0.0001677690331367,2.720956227183997e-06,0.0001664085550231,False,Social behavior & violence,Editorial & miscellaneous records
10,19,17,13,29.88880956172943,28.929834842681885,0.000342766206838,0.0003176072171001,5.410857168499056e-05,4.654460626097888e-05,-7.563965424011678e-06,1.1827292168371826e-06,1.0173926976215687e-06,-1.653365192156139e-07,1.1000609572293757e-06,False,Social behavior & violence,Synthetic chemistry
10,20,66,49,148.31572997570038,126.02554297447205,0.0017008914347423,0.0013835758899184,0.0002685002321965,0.0002027598604855,-6.574037171094501e-05,5.868997451922777e-06,4.4320151785607255e-06,-1.436982273362052e-06,5.150506315241752e-06,False,Social behavior & violence,Civil & structural engineering
10,21,11,9,28.81096291542053,14.28962755203247,0.0003304054132191,0.0001568791825075,5.2157314897503535e-05,2.299028292564319e-05,-2.9167031971860344e-05,1.1400777784375816e-06,5.025318257856351e-07,-6.375459526519465e-07,8.213048021116084e-07,False,Social behavior & violence,Metallurgy & alloys
10,22,95,58,268.3744339942932,105.36241388320924,0.0030777300301155,0.0011567249948841,0.0004858459575048,0.0001695153842242,-0.0003163305732806,1.061983694872946e-05,3.705342635776388e-06,-6.914494312953072e-06,7.162589792252923e-06,False,Social behavior & violence,Mathematics & theoretical physics
10,23,1086,567,2634.3719638586044,1101.0596653223038,0.0302110956807251,0.0120880225575396,0.0047690793424535,0.0017714718687803,-0.0029976074736732,0.0001042446566243,3.8721619713218985e-05,-6.552303691110574e-05,7.148313816877185e-05,False,Social behavior & violence,Ecology & taxonomy
10,24,624,511,1359.7840476036072,954.9415258169174,0.0155940643655746,0.0104838593845205,0.0024616561748272,0.001536385449938,-0.0009252707248891,5.380797513425126e-05,3.35829962495446e-05,-2.022497888470666e-05,4.3695485691897936e-05,False,Social behavior & violence,"Astronomy, optics & imaging"
10,25,1473,2102,4775.060277581215,3855.284690022469,0.0547606051485366,0.0423253796015562,0.0086444289725235,0.0062026869111721,-0.0024417420613514,0.0001889537718385,0.0001355810882506,-5.337268358798056e-05,0.0001622674300445,False,Social behavior & violence,Orthopaedics & sports medicine
10,26,1653,1944,4681.07481944561,3809.0792994499207,0.0536827757048264,0.0418181120836262,0.0084742843942199,0.0061283480245857,-0.0023459363696342,0.0001852346759988,0.0001339561558161,-5.127852018272779e-05,0.0001595954159075,False,Social behavior & violence,"Climate, land & agriculture"
10,27,1332,2581,4016.616534948349,4349.661357998848,0.046062738335694,0.0477529113717536,0.0072713964490125,0.0069980791932472,-0.0002733172557652,0.0001589414164824,0.0001529671263876,-5.974290094762239e-06,0.000155954271435,False,Social behavior & violence,Oncology
